BERDO ID,Tax Parcel ID,Property Owner Name,Building Address,Building Address City,Building Address Zip  Code,Parcel Address,Parcel Address City,Parcel Address Zip Code,Reported Gross Floor Area (Sq Ft),Reported Enclosed Parking Area (Sq Ft),BERDO Emissions Gross Floor Area (Sq Ft),Largest Property Type,All Property Types and GFAs,Total Site Energy Usage (kBtu),Energy Star Score,Site EUI (Energy Use Intensity kBtu/ft²),Natural Gas Usage (kBtu),Natural Gas Emissions (kgCO2e),Electricity Usage (kWh),Electricity Emissions (kgCO2e),Renewable System Electricity Usage Onsite (kBtu),District Hot Water Usage (kBtu),District Hot Water Emissions (kgCO2e),District Chilled Water Usage (kBtu),District Chilled Water Emissions (kgCO2e),District Steam Usage (kBtu),District Steam Emissions (kgCO2e),Fuel Oil 1 Usage (kBtu),Fuel Oil 1 Emissions (kgCO2e),Fuel Oil 2 Usage (kBtu),Fuel Oil 2 Emissions (kgCO2e),Fuel Oil 4 Usage (kBtu),Fuel Oil 4 Emissions (kgCO2e),Fuel Oil 5 and 6 Usage (kBtu),Fuel Oil 5 and 6 Emissions (kgCO2e),Propane Usage (kBtu),Propane Emissions (kgCO2e),Diesel Usage (kBtu),Diesel Emissions (kgCO2e),Kerosene Usage (kBtu),Kerosene Emissions (kgCO2e),Water Usage Intensity (Gallons/ft²),Estimated Total GHG Emissions e(kgCO2e),Reporting Compliance Status,First Emissions Compliance Year (Projected),Community Choice Electricity Participation,Renewable Energy Purchased through a Power Purchase Agreement (PPA),Renewable Energy Certificate (REC) Purchase,Backup Generator,Battery Storage,Electric Vehicle (EV) Charging,Corresponding Campus ID,Notes
100001,303060001,1 LOVEJOY WHARF BOSTON  REALTY LLC,,Boston,2114.0,160  170 N Washington St,Boston,2114.0,251688.0,,251688.0,Office,"Food Sales (15000),Office (231408),Retail Store (5280)",17843015.4,62.0,70.9,4939583.9,262341.301,3781779.5,735783.02,,,,,,,,,,,,,,,,,,,,,,10.64,998124.321,in compliance,2025.0,No,No,No,Yes,No,No,,
100002,304794000,10 TEMPLE PLACE LP,2-24 Temple Pl,Boston,2111.0,24  2 Temple Pl,Boston,2111.0,135344.0,,135344.0,Multifamily Housing,"Personal Services (Health/Beauty, Dry Cleaning, etc) (1129),Restaurant (1552),Multifamily Housing (127684),Medical Office (2145),Supermarket/Grocery Store (2834)",7527620.0,,55.6,4933261.4,262005.513,760363.0,147936.225,,,,,,,,,,,,,,,,,,,,,,36.72,409941.738,in compliance,2025.0,Unsure,No,No,Yes,No,No,,
100003,602757045,10-20 CHANNEL CENTER,20 Channel Center St,Boston,2127.0,20  30 Channel Center St,Boston,2127.0,255383.0,,255383.0,Office,Office (255383),11674291.4,62.0,45.7,,,3421539.1,665694.647,,,,,,,,,,,,,,,,,,,,,,7.23,665694.647,in compliance,2025.0,No,No,No,Yes,No,No,,
100005,304718000,10-24 SCHOOL STREET,24 School St,Boston,2108.0,12 Province St,Boston,2108.0,134789.0,,134789.0,Office,"Office (108140),Data Center (361),Retail Store (26288)",7580836.8,82.0,56.2,,,1098218.1,213669.314,,,,,,3833716.6,226572.651,,,,,,,,,,,,,,,5.36,440241.965,in compliance,2025.0,No,No,No,Yes,No,No,,
100007,304408000,100 HIGH OWNER LLC,100 High St,Boston,2110.0,100 High St,Boston,2110.0,551954.0,94644.0,646598.0,Office,"Office (541668),Data Center (400),Other - Restaurant/Bar (9886),Parking (94644)",27164780.8,79.0,49.2,,,7961541.8,1548997.573,,,,,,,,,,,,,,,,,,,,,,6.43,1548997.573,in compliance,2025.0,No,No,No,Yes,No,No,,
100008,602671039,100 NORTHERN AVENUE LLC,,Boston,2210.0,90  110 Northern Av,Boston,2210.0,572998.0,166100.0,739098.0,Office,"Restaurant (5726),Office (565598),Data Center (1674),Electric Vehicle Charging Station (0),Parking (166100)",46805487.6,53.0,81.7,16289054.6,865111.69,8943854.9,1740116.409,,,,,,,,,,,,,,,,,,,,,,10.39,2605228.099,in compliance,2025.0,No,No,No,Yes,No,Yes,,
100009,304220000,100 SUMMER OWNER LLC,100 Summer St,Boston,2110.0,100 Summer St,Boston,2110.0,1113465.0,21580.0,1135045.0,Office,"Office (1108725),Parking (21580),Fast Food Restaurant (4740)",62690112.1,78.0,56.3,,,11066843.3,2153165.032,,,,,,24930042.8,1655354.842,,,,,,,,,,,,,,,5.57,3808519.874,in compliance,2025.0,No,No,No,Yes,No,Yes,,
100011,306234010,B9 LS HARRISON & WASHINGTON LLC,1000-1020 Washington St,Boston,2118.0,321 Harrison Av,Boston,2118.0,239877.0,,239877.0,Laboratory,"Laboratory (239877),Parking (105000)",30656225.3,,127.8,15907787.1,844862.573,4322520.0,840989.491,,,,,,,,,,,,,,,,,,,,,,,1685852.064,in compliance,2025.0,No,No,No,Yes,No,Yes,,
100013,1001625010,101 HUNTINGTON OWNER (DE)  LLC,101 S Huntington Ave,Boston,2199.0,105 S Huntington Av,Boston,2199.0,204050.0,68250.0,272300.0,Multifamily Housing,"Multifamily Housing (202450),Electric Vehicle Charging Station (0),Swimming Pool (0),Parking (68250),Other (1600)",7631618.8,100.0,37.4,11464687.9,608889.574,910269.0,177101.937,,,,,,,,,,,,,,,,,,,,,,16.64,785991.511,in compliance,2025.0,No,No,No,No,No,No,,
100014,301675000,101 MERRIMAC OWNER LLC,101 Merrimac St,Boston,2114.0,101 Merrimac St,Boston,2114.0,162664.0,14627.0,177291.0,Office,"Office (162664),Parking (14627)",7046938.1,92.0,43.3,1852996.9,98412.665,1522257.1,296170.341,,,,,,,,,,,,,,,,,,,,,,4.99,394583.006,in compliance,2025.0,No,No,No,Yes,No,No,,
