Property Name,Reported,Tax Parcel,Largest Property Type,Building Address,Zip,Reported Gross Floor Area (Sq Ft),Site EUI (Energy Use Intensity kBtu/ft²),ENERGY STAR Score,Energy Star Certified,Property Uses,Year Built,GHG Emissions (MTCO2e),GHG Intensity (kgCO2/sf),Total Site Energy (kBTU),% Electricity,% Gas,% Steam,% Fuel Oil,% District Hot Water,% District Chilled Water,"% Other (Diesel #2, Kerosene, Propane or Other Fuel)",Water Intensity (gal/sf),Onsite Renewable (kWh),User Submitted Info,User Submitted Link,Property Owner Name,Estimated Total GHG Emissions (kgCO2e),Reporting Compliance Status,First Emissions Compliance Year (Projected)
Piano Row,Reported,500031000,Residence Hall/Dormitory,144/150 Boylston St,2116,199874.0,81.4,48.0,,Residence Hall/Dormitory,2006.0,1101.5,5.5,16261444.5,0.3776,0.53,0.6171,,,,,18.21,Not Available,,,,1101500.0,submitted,
216 Tremont,Reported,304909000,College/University,216 Tremont Street,2116,45388.0,55.9,,,College/University,1926.0,173.1,3.8,2537987.7,0.4827,,0.5173,,,,,4.01,Not Available,,,,173100.0,submitted,
Colonial Theater,Reported,500045000,Performing Arts,98-106 Boylston Streeet,2116,172349.0,39.6,,,Performing Arts,1900.0,470,2.7,6832776.1,0.6411,,0.3589,,,,,14.75,Not Available,,,,470000.0,submitted,
Ansin Building,Reported,304890100,College/University,180 Tremont St,2116,98744.0,52,,,College/University,1931.0,359.8,3.6,5136248.8,0.9776,,0.224,,,,,4.23,Not Available,,,,359800.0,submitted,
80 Boylston St./ The Little Building,Reported,500001001,Residence Hall/Dormitory,80 Boylston Street,2116,216877.0,84,29.0,,Residence Hall/Dormitory,1917.0,1252.3,5.8,18214315.9,0.632,,0.3698,,,,,21.13,Not Available,,,,1252300.0,submitted,
543-547 Washington Street,Reported,304839010,College/University,543-547 Washington Street,2116,146942.0,104.9,,,College/University,2010.0,1055.5,7.2,15408359.1,0.5982,0.96,0.3922,,,,,24.03,Not Available,"Temporary values were entered for detailed property use, definitive numbers will be updates as soon as they become available.",,,1055500.0,submitted,
2 Boylston Place,Reported,304908000,Residence Hall/Dormitory,2 Boylston Place,2116,103963.0,51.8,73.0,,Residence Hall/Dormitory,2016.0,370.4,3.6,5385082.1,0.6371,,0.3629,,,,,27.69,Not Available,,,,370400.0,submitted,
Walker Building,Reported,500043011,College/University,120 Boylston St,2116,176296.0,77.1,,,College/University,1891.0,934,5.3,13593093.6,0.6197,,0.383,,,,,12.91,Not Available,,,,934000.0,submitted,
Morgan Memorial Goodwill Inc,Reported,802375000,Retail Store,1010 Harrison Ave,2119,168000.0,55.5,88.0,,"Parking, Retail Store",1986.0,302.6,3.5,4829208.4,0.567,0.4393,,,,,,2.79,Not Available,,,,302600.0,submitted,
1960-1980 Commonwealth Ave.,Reported,02469-000,Multifamily Housing,"1960,1970,1980 Commonwealth Ave.",2135,141204.0,88.6,44.0,,Multifamily Housing,1937.0,687.7,4.9,12508221.9,0.195,0.895,,,,,,33.59,Not Available,,,,687700.0,submitted,
Wilkes Passage Lofts Condominium,Reported,306010010,Multifamily Housing,1313 Washington Street,2118,394950.0,48.3,94.0,2020,"Multifamily Housing, Parking",2002.0,788.3,2.9,12966542.8,0.4512,0.5488,,,,,,20.31,Not Available,"Wilkes Passage Lofts is an urban infill development consisting of a seven story mixed-use development that consists of 152 residential condominium units, 20,000 square feet of commercial/restaurant space and approximately 386 below-grade parking spaces.

",,,788300.0,submitted,
Huntington Ave Theatre,Reported,402290000,Performing Arts,264 Huntington Ave,2115,41896.0,77.5,,,Performing Arts,1926.0,184.2,4.4,3246192,0.2139,0.7861,,,,,,4.69,Not Available,"For sq footage of this building, I used what is one file for the city of Boston: 41,896 sq ft. 

We do not have a waste and materials meter in this building, so there is no info entered for that category. 

",,,184200.0,submitted,
234 Berk,Submitted with possible data errors,501295000,Retail Store,234 Berkeley Street,2116,44000.0,Not Available,,,Retail Store,1863.0,Not Available,Not Available,Not Available,,,,,,,,Not Available,Not Available,,,,,submitted,
Catherine Clark: Catherine Clark,Reported,1301910000,Multifamily Housing,915 Dorchester Avenue,2125,74185.0,101.2,18.0,,Multifamily Housing,1977.0,438.4,5.9,7510449.3,0.389,0.6911,,,,,,Not Available,Not Available,Basement square footage estimated ,,,438400.0,submitted,
Marcus Garvey,Reported,903557000,Multifamily Housing,42 John Eliot Square,2119,144181.0,70.7,60.0,,Multifamily Housing,1981.0,594.3,4.1,10188434.1,0.364,0.6936,,,,,,46.97,Not Available,"Parcel ID: 0903557000
Address: NORFOLK ST, 02119

",,,594300.0,submitted,
Hemenway Apartments,Reported,401797000,Multifamily Housing,491 Huntington Ave,2115,70300.0,101.4,35.0,,Multifamily Housing,1900.0,404.5,5.8,7130106.3,0.2126,0.7874,,,,,,63.83,Not Available,"Energy/Water usage + building characteristics cover three connected buildings: 

491 Huntington Ave (6 Museum Rd): 0401797000
497 Huntington Ave: 0401798000
499 Huntington Ave: 0401799000",,,404500.0,submitted,
