BERDO ID,Tax Parcel ID,Property Owner Name,Building Address,Building Address City,Building Address Zip Code,Parcel Address,Parcel Address City,Parcel Address Zip Code,Reported Gross Floor Area (Sq Ft),Reported Enclosed Parking Area (Sq Ft),Largest Property Type,All Property Types,Site EUI (Energy Use Intensity kBtu/ft²),Energy Star Score,Total Site Energy Usage (kBtu),Natural Gas Usage (kBtu),Electricity Usage (kBtu),Renewable System Electricity Usage Onsite (kBtu),District Hot Water Usage (kBtu),District Chilled Water Usage (kBtu),District Steam Usage (kBtu),Fuel Oil 1 Usage (kBtu),Fuel Oil 2 Usage (kBtu),Fuel Oil 4 Usage (kBtu),Fuel Oil 5 and 6 Usage (kBtu),Propane Usage (kBtu),Diesel Usage (kBtu),Kerosene Usage (kBtu),Water Usage Intensity (Gallons/ft²),Compliance Status,BERDO Reporting Status,Community Choice Electricity Participation,Renewable Energy Purchased through a Power Purchase Agreement (PPA),Renewable Energy Certificate (REC) Purchase,Backup Generator,Battery Storage,Electric Vehicle (EV) Charging,Cooresponding Campus ID,Notes,Estimated Total GHG Emissions (kgCO2e),Reporting Compliance Status,First Emissions Compliance Year (Projected)
100182,401092000,500 boylston & 222 berkeley,500 boylston st.,boston,2116,500 boylston st,boston,2116.0,761594.0,250368,Office,"Office,Other,Parking",45.2,78,34402724.8,,34402718.3,,,,,,,,,,,,7.58,in compliance,7 - berdo accepted,I'm not sure,No,No,Yes,No,No,,,,in compliance,
100183,401096000,500 boylston & 222 berkeley,222 berkeley street,boston,2116,222 berkeley st,boston,2116.0,551775.0,172800,Office,"Bank Branch,Fast Food Restaurant,Office,Parking,Restaurant,Retail Store",40.7,84,22472106.5,,22472107.6,,,,,,,,,,,,1.51,in compliance,7 - berdo accepted,I'm not sure,No,No,Yes,No,No,,,,in compliance,
104891,302870000,one boston place llc,one boston place,boston,2108,201 washington st,boston,2108.0,884132.0,,Office,Office,70.6,71,62445374.2,258410.8,25901362.1,,,,36285601.2,,,,,,,,5.62,in compliance,7 - berdo accepted,No,No,No,Yes,No,No,,,,in compliance,
100203,602678701,601 congress ma llc  lessee,601 congress st,boston,2210,601 congress st,boston,2210.0,446760.0,97620,Financial Office,"Data Center,Financial Office,Parking",29.2,,13063405.2,31000,13032403.5,,,,,,,,,,,,3.02,in compliance,7 - berdo accepted,Yes,No,No,Yes,No,Yes,,,,in compliance,
101336,401134000,bp hancock llc mass llc,200 clarendon street,boston,2116,200 clarendon st,boston,2116.0,2379762.0,84099,Office,"Data Center,Office,Other,Parking",74.4,60,177012044.1,,85832613.2,,,,91179414.4,,,,,,,,8.01,in compliance,7 - berdo accepted,I'm not sure,No,Yes,Yes,No,Yes,,,,in compliance,
103940,401115000,john hancock life,190-200 berkeley st,boston,2116,90 st james st,boston,2116.0,1624928.0,,Financial Office,"Data Center,Financial Office",45.3,91,73626152.3,,47239958.9,,,,26386206.3,,,,,,,,4.39,in compliance,7 - berdo accepted,No,No,No,Yes,No,No,,,,in compliance,
106247,304390000,trea 99 high street llc,99 high st,boston,2110,99 high st,boston,2110.0,731205.0,73059,Office,"Bank Branch, Office, Other - Restaurant/Bar, Parking",60.2,83,43992807.8,21800959,22191849.3,,,,,,,,,,,,6.72,in compliance,7 - berdo accepted,No,No,No,Yes,No,Yes,,,,in compliance,
106418,304023000,two sixty franklin inc,260 franklin st,boston,2109,260 franklin st,boston,2109.0,372562.0,33088,Office,"Office, Parking",43.8,79,16313756.1,,16313754.7,,,,,,,,,,,,4.98,in compliance,7 - berdo accepted,No,No,No,Yes,No,No,,,,in compliance,
100371,303998000,aman inc del corp,20 custom house st,boston,2109,54  62 broad st,boston,2109.0,96032.0,,Office,Office,99.6,23,9568827.7,,9568827.8,,,,,,,,,,,,14.79,in compliance,7 - berdo accepted,I'm not sure,No,No,Yes,No,No,,,,in compliance,
106121,304304400,third sector new england inc,89 south street,boston,2111,89 south st,boston,2111.0,107432.0,,Office,Office,44.2,86,4751266.2,1216140.5,3535125.4,,,,,,,,,,,,4.58,in compliance,7 - berdo accepted,No,No,No,Yes,No,No,,,,in compliance,
