BERDO ID,Tax Parcel ID,Property Owner Name,Building Address,Building Address City,Building Address Zip Code,Parcel Address,Parcel Address City,Parcel Address Zip Code,Reported Gross Floor Area (Sq Ft),Reported Enclosed Parking Area (Sq Ft),Largest Property Type,All Property Types,Site EUI (Energy Use Intensity kBtu/ft²),Energy Star Score,Total Site Energy Usage (kBtu),Natural Gas Usage (kBtu),Electricity Usage (kBtu),Renewable System Electricity Usage Onsite (kBtu),District Hot Water Usage (kBtu),District Chilled Water Usage (kBtu),District Steam Usage (kBtu),Fuel Oil 1 Usage (kBtu),Fuel Oil 2 Usage (kBtu),Fuel Oil 4 Usage (kBtu),Fuel Oil 5 and 6 Usage (kBtu),Propane Usage (kBtu),Diesel Usage (kBtu),Kerosene Usage (kBtu),Water Usage Intensity (Gallons/ft²),Compliance Status,BERDO Report Status,Estimated Total GHG Emissions (kgCO2e),Community Choice Electricity Participation,Renewable Energy Purchased through a Power Purchase Agreement (PPA),Renewable Energy Certificate (REC) Purchase,Backup Generator,Battery Storage,Electric Vehicle (EV) Charging,Cooresponding Campus ID,Notes,Reporting Compliance Status,First Emissions Compliance Year (Projected)
100001,303060001.0,1 LOVEJOY WHARF BOSTON  REALTY LLC,160  170 n washington st,boston,2114.0,160 170 n washington st,boston,2114.0,236688.0,,Office,"Office , Retail Store ",68.3,57.0,16177367.5,4101525.0,12075842.5,,,,,,,,,,,,9.29,In Compliance,7 - Accepted by BERDO Team,1173031.135,No,No,No,Yes,No,No,,,in compliance,
100002,304794000.0,10 TEMPLE PLACE LP,2-24 temple pl,boston,2111.0,24 2 temple pl,boston,2111.0,135344.0,,Multifamily Housing,"Personal Services Health/Beauty, Dry Cleaning, etc , Restaurant , Multifamily Housing , Medical Office , Supermarket/Grocery Store ",61.0,,8251242.7,5517394.8,2733847.9,,,,,,,,,,,,52.25,In Compliance,7 - Accepted by BERDO Team,509276.2067,No,No,No,Yes,No,No,,,in compliance,
100003,602757045.0,10-20 CHANNEL CENTER,20 channel center st,boston,2127.0,20 30 channel center st,boston,2127.0,255383.0,,Office,Office ,36.0,,9182640.8,,9182640.5,,,,,,,,,,,,5.6,In Compliance,7 - Accepted by BERDO Team,726346.8636,No,No,No,No,No,No,,,in compliance,
100005,304718000.0,10-24 SCHOOL STREET,24 school st,boston,2108.0,12 province st,boston,2108.0,134789.0,,Office,"Office , Data Center , Retail Store ",55.5,90.0,7480044.0,613.8,3783686.2,,,,3695743.9,,,,,,,,4.94,In Compliance,7 - Accepted by BERDO Team,544719.5723,No,No,No,Yes,No,No,,,in compliance,
100007,304408000.0,100 HIGH OWNER LLC,100 high st,boston,2110.0,100 high st,boston,2110.0,550326.0,94644.0,Office,"Office , Data Center , Other - Restaurant/Bar N/A, Parking ",52.6,72.0,28955904.0,,28955903.9,,,,,,,,,,,,7.03,In Compliance,7 - Accepted by BERDO Team,2290411.998,No,No,No,Yes,No,Yes,,,in compliance,
100008,602671039.0,100 NORTHERN AVENUE LLC,90  110 northern av,boston,2210.0,90 110 northern av,boston,2210.0,572998.0,166100.0,Office,"Restaurant , Office , Data Center , Parking ",83.7,50.0,47964541.9,16261839.9,31702700.4,,,,,,,,,,,,10.08,In Compliance,7 - Accepted by BERDO Team,3371349.919,No,No,No,Yes,No,Yes,,,in compliance,
100009,304220000.0,100 SUMMER OWNER LLC,100 summer st,boston,2110.0,100 summer st,boston,2110.0,1113465.0,21580.0,Office,"Office , Parking , Fast Food Restaurant ",84.4,50.0,94006017.9,,38052091.2,,,,55953938.3,,,,,,,,5.91,In Compliance,7 - Accepted by BERDO Team,6725261.917,No,No,No,Yes,No,Yes,,,in compliance,
100013,1001625010.0,101 HUNTINGTON OWNER (DE)  LLC,101 s huntington ave,boston,2199.0,105 s huntington av,boston,2199.0,205000.0,68250.0,Multifamily Housing,"Multifamily Housing , Heated Swimming Pool , Parking ",47.2,88.0,9682567.7,4877800.0,4804768.2,,,,,,,,,,,,36.65,In Compliance,7 - Accepted by BERDO Team,639117.1226,I'm not sure,No,No,No,No,No,,,in compliance,
100014,301675000.0,101 MERRIMAC OWNER LLC,101 merrimac st,boston,2114.0,101 merrimac st,boston,2114.0,162664.0,14627.0,Office,"Office , Parking ",47.6,84.0,7749001.7,414423.1,7334578.5,,,,,,,,,,,,7.07,In Compliance,7 - Accepted by BERDO Team,602175.1702,No,No,No,Yes,No,No,,,in compliance,
100015,602643020.0,101 SEAPORT BOULEVARD,101 seaport bl,boston,2210.0,101 seaport bl,boston,2210.0,620642.0,144404.0,Office,"Office , Parking ",55.8,82.0,34653551.2,11674103.0,22979448.1,,,,,,,,,,,,9.27,In Compliance,7 - Accepted by BERDO Team,2437685.955,No,No,No,Yes,No,Yes,,,in compliance,
